Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Sum Total,Total
J.J. Watt,11.3,6.1,7.1,13.9,2,19.53,4.8,9.5,6.4,,15,4.4,15.45,11,8.8,7.3,142.58,157.58
DeAndre Levy,10.13,3.2,9.3,4.6,6.8,3.6,5.9,4,,6.1,4.6,5.3,7,7.3,5.4,4.1,87.33,92.23
Luke Kuechly,9.1,5.9,6.1,6.3,6.7,5.7,3.8,3.9,2.8,4.1,8.1,,9.1,5.8,6.6,3.1,87.1,93.2
Justin Houston,6.5,0.8,4.5,9.8,5,,4.8,10,6.8,2.1,2.6,5,11.3,8,4,4.5,85.7,100.7
Harrison Smith,15.53,3.8,4.6,6.83,7.43,2.3,4.5,1.3,5,,6.8,5.5,6.6,5.9,2.8,6.78,85.67,87.05
Lavonte David,5.8,4.1,7.3,9.1,8.2,6.7,,7.5,3.3,6.2,5.5,0,0,3.3,10.8,4.3,82.1,86.2
Rashad Johnson,2.3,6.5,4.5,,3.3,19.05,1.5,9.3,2.3,1.5,6.6,3.9,14.8,0,2.5,3.8,81.85,83.25
D'Qwell Jackson,2.1,3.2,9,7.1,2.2,6.6,2.7,5.5,2.3,,4.1,8.4,12.78,4.4,4.2,6.3,80.88,85.28
C.J. Mosley,4.1,5.65,3.1,7.2,10.55,3.6,3.3,9.63,3.9,3.1,,8,3.6,6.3,5.4,2.6,80.03,82.73
Jamie Collins,7,0,0.9,3.5,2.48,5.6,5.3,4.5,5.8,,6.4,1.6,9.3,9.8,7.8,8.7,78.68,85.38
Brandon Marshall,6.6,9.1,4.6,,2,3.3,5,6.6,2.8,7.6,7.1,4.8,5.8,10.5,1.8,0,77.6,77.6
Ryan Kerrigan,3.3,13,0.5,4,4.4,7.6,2.1,6.3,1.5,,2.3,4.3,7,8.8,3.5,8,76.6,77.4
Adam Jones,4.73,3.65,3.5,,3.48,6.83,6.95,6.63,4.98,6.08,4.88,4.63,2.38,2.9,4.5,10.2,76.32,79.63
Julius Peppers,1.8,3.6,6.5,0.8,13.13,3.55,5.4,3,,8.3,12.1,1,2.8,1.5,4.8,7.5,75.78,77.78
Alec Ogletree,2.3,2.6,7.5,,6.3,3.3,2.6,3.8,2,12.4,10.9,4.3,3.8,3.5,4.8,5.1,75.2,80.2
T.J. McDonald,3.8,12.5,1.8,,7.3,4.4,1.3,3.3,2,8,5.3,3.3,3.5,5.7,4.3,7.6,74.1,77.88
Antoine Bethea,4.5,3.8,1,9.5,1.8,5.6,2.5,,8.3,7.75,4.1,2.3,1.3,3.5,1.5,16.03,73.48,75.48
Connor Barwin,2,1.1,0.3,5.6,7.8,11.5,,1.5,5.8,12.1,1.5,8.5,2.5,5.3,6.2,1.6,73.3,74.1
William Gay,4,0.5,1.1,4,3,0.8,2.5,14.43,2.5,4.1,12,,2.1,2.8,16.3,3,73.13,74.63
Aqib Talib,5,2,3.8,,1.5,13.55,5.08,5.8,3.5,1.8,1.6,3,0,1.8,9.9,14.63,72.96,77.25
Charles Woodson,7.75,3.8,3.8,3.5,,3.1,7.85,3.6,1.7,4.4,6.4,7.43,2.8,7.88,2.5,6.2,72.71,76.08
Daryl Smith,3.5,7.4,2,5.2,3.2,5.8,6.5,8.98,4.1,2.7,,2.5,7,3.3,4.7,5.3,72.18,75.48
Jason Pierre-Paul,1.6,7.6,4.6,2.3,2.9,2,8.5,,1.8,7.1,0.5,2,5.3,9.9,11.3,4.5,71.9,79.7
Ryan Mundy,3.3,3.3,12.13,4,1.4,0.5,2.1,3.1,,6.1,4,7.75,5.8,3,7,6.53,70.01,74.7
Clay Matthews,4.5,5.8,3,5.3,0.5,3.5,2.3,3.3,,8.1,5.8,1.8,3.6,4.2,7,10.1,68.8,74.3
